seed,family,job,arm,backend,mode,descriptor_index,chunk_ids,tokens,ready_skew_us,issue_skew_us,gpu_start_skew_us,ready_to_issue_us,issue_to_gpu_start_us,ready_to_gpu_start_us,gpu_comm_envelope_us,gpu_kernel_duration_us,router_overlap_us,router_overlap,rank_issues_before_final_router
13042,balanced,1,MSCCLPP-D,mscclpp,D,2,2,512,1085.763,270.004,370.873,131505.6595,1506.0935,133011.753,1437.687,985.078,0.0,False,0
13042,balanced,1,MSCCLPP-D,mscclpp,D,3,3,512,1095.31,429.905,39.752,133312.5075,1563.7105000000001,134876.218,800.766,677.375,0.0,False,0
13042,balanced,1,MSCCLPP-D,mscclpp,D,4,4,512,1123.856,28.656,38.06,135114.869,1374.116,136488.985,1202.342,959.9925,0.0,False,0
13042,balanced,1,MSCCLPP-D,mscclpp,D,5,5,512,1095.877,96.477,212.155,136778.211,1514.214,138292.425,1671.172,1183.75,0.0,False,0
13042,balanced,1,MSCCLPP-D,mscclpp,D,6,6+7,1024,1124.907,308.561,59.56,138813.52399999998,2343.0074999999997,141156.53149999998,1861.625,1751.5549999999998,0.0,False,0
13042,balanced,1,MSCCLPP-P,mscclpp,P,0,0,512,29.537,3.691,42.359,17461.373,1485.1370000000002,18946.51,855.422,830.981,0.0,False,0
13042,balanced,1,MSCCLPP-P,mscclpp,P,1,1,512,38.691,52.424,90.484,33220.5445,1411.987,34632.5315,631.156,585.7270000000001,0.0,False,0
13042,balanced,1,MSCCLPP-P,mscclpp,P,2,2,512,10.022,72.173,42.641,51081.760500000004,1417.621,52499.3815,629.766,550.9145,0.0,False,0
13042,balanced,1,MSCCLPP-P,mscclpp,P,3,3,512,9.478,33.066,37.501,68976.143,1413.1405,70389.28349999999,643.063,622.078,0.0,False,0
13042,balanced,1,MSCCLPP-P,mscclpp,P,4,4,512,0.668,155.99,95.891,87138.14199999999,1409.1595,88547.3015,1162.234,989.1714999999999,0.0,False,0
13042,balanced,1,MSCCLPP-P,mscclpp,P,5,5,512,2.472,211.707,232.063,105034.8445,1432.3760000000002,106467.2205,1502.203,1011.711,0.0,False,0
13042,balanced,1,MSCCLPP-P,mscclpp,P,6,6+7,1024,50.285,646.144,511.625,139013.7425,2437.2315,141450.974,3165.187,2715.656,0.0,False,0
13042,balanced,2,NCCL-D,nccl,D,0,0,512,812.645,154.814,272.382,131554.10450000002,144.72,131698.8245,295.376,90.293,0.0,False,0
13042,balanced,2,NCCL-D,nccl,D,1,1,512,703.513,8.022,9.884,142952.9205,244.663,143197.5835,12.95,3.226,0.0,False,0
13042,balanced,2,NCCL-D,nccl,D,2,2,512,674.957,166.813,310.33,158625.146,132.8055,158757.95150000002,313.398,72.45,0.0,False,0
